dataset,horizon,informer_mse,informer_mae,informer_dishts_mse,informer_dishts_mae,autoformer_mse,autoformer_mae,autoformer_dishts_mse,autoformer_dishts_mae,nbeats_mse,nbeats_mae,nbeats_dishts_mse,nbeats_dishts_mae
Electricity,24,4.394,4.897,1.116,2.413,1.616,3.138,1.535,2.942,1.259,2.572,1.205,2.536
Electricity,48,4.405,4.904,1.256,2.581,2.291,3.772,1.783,3.199,1.311,2.696,1.286,2.629
Electricity,96,3.933,4.675,1.060,2.354,2.281,3.726,1.330,2.706,1.271,2.625,1.129,2.447
Electricity,168,4.083,4.747,1.015,2.301,2.072,3.502,1.162,2.413,1.520,2.879,0.985,2.261
Electricity,336,4.292,4.848,2.893,4.364,2.112,3.481,1.387,2.722,1.747,3.107,1.497,2.852
ETTh1,24,0.427,1.536,0.339,1.343,0.420,1.505,0.344,1.350,0.406,1.479,0.320,1.279
ETTh1,48,0.855,2.272,0.570,1.824,0.767,2.172,0.588,1.885,0.598,1.841,0.569,1.815
ETTh1,96,0.930,2.328,0.840,2.258,1.100,2.669,0.872,2.340,0.827,2.254,0.785,2.168
ETTh1,168,0.964,2.567,0.911,2.448,1.098,2.659,0.959,2.488,1.052,2.617,0.908,2.399
ETTh1,336,1.146,2.829,0.993,2.520,1.230,2.976,0.936,2.454,1.117,2.639,1.011,2.550
ETTm2,24,1.328,2.525,0.760,1.686,1.718,2.796,0.762,1.851,0.867,1.804,0.600,1.479
ETTm2,48,1.488,2.649,1.070,2.117,3.061,4.259,1.847,3.082,1.290,2.374,1.145,2.160
ETTm2,96,2.952,4.324,1.631,2.771,3.113,4.309,2.385,3.648,1.707,2.922,1.605,2.747
ETTm2,168,5.114,5.832,2.754,3.841,4.167,4.959,3.413,4.452,2.428,3.603,2.380,3.579
ETTm2,336,5.958,6.490,4.284,5.096,5.753,5.993,4.449,5.213,3.974,4.815,3.568,4.582
Weather,24,3.632,1.381,0.725,0.584,1.082,0.775,0.800,0.622,0.570,0.486,0.567,0.480
Weather,48,5.933,1.856,1.251,0.798,1.617,0.968,1.317,0.845,1.272,0.825,1.178,0.776
Weather,96,6.895,2.071,1.898,1.022,1.901,1.034,1.824,1.005,1.898,0.995,1.783,0.994
Weather,168,6.786,2.045,1.932,1.042,1.970,1.046,1.847,1.008,2.571,1.210,1.848,1.024
Weather,336,7.393,2.175,2.237,1.099,2.190,1.100,2.015,1.061,3.624,1.486,2.447,1.117
