dataset,horizon,informer_mse,informer_mae,informer_dishts_mse,informer_dishts_mae,autoformer_mse,autoformer_mae,autoformer_dishts_mse,autoformer_dishts_mae,nbeats_mse,nbeats_mae,nbeats_dishts_mse,nbeats_dishts_mae
Electricity,24,0.482,0.575,0.036,0.249,0.082,0.420,0.040,0.247,0.041,0.281,0.032,0.241
Electricity,48,0.969,1.002,0.056,0.289,0.125,0.450,0.051,0.278,0.043,0.275,0.041,0.265
Electricity,96,1.070,1.046,0.084,0.325,0.363,0.642,0.064,0.285,0.067,0.324,0.058,0.286
Electricity,168,0.960,1.013,0.088,0.335,0.585,0.835,0.080,0.319,0.078,0.347,0.074,0.294
Electricity,336,1.113,1.058,0.153,0.400,0.569,0.766,0.104,0.357,0.108,0.383,0.108,0.355
ETTh1,24,0.988,1.794,0.876,1.633,1.451,2.100,1.019,1.744,0.797,1.531,0.790,1.501
ETTh1,48,1.318,2.127,1.073,1.846,1.456,2.161,1.240,1.966,0.913,1.696,0.907,1.657
ETTh1,96,2.333,2.965,1.185,2.011,1.371,2.173,1.199,1.982,1.057,1.875,0.975,1.793
ETTh1,168,2.778,3.234,1.273,2.085,1.267,2.146,1.148,1.991,1.038,1.893,0.994,1.858
ETTh1,336,2.825,3.335,1.779,2.586,1.334,2.333,1.147,2.062,1.128,2.020,1.055,1.976
ETTm2,24,1.352,2.443,0.608,1.594,0.834,1.882,0.676,1.701,0.643,1.609,0.634,1.587
ETTm2,48,1.781,2.973,0.736,1.767,1.165,2.269,0.823,1.903,0.808,1.829,0.785,1.793
ETTm2,96,1.936,3.017,0.877,1.946,1.165,2.237,0.929,2.021,0.953,2.017,0.860,1.904
ETTm2,168,2.822,3.656,1.213,2.273,1.404,2.423,1.308,2.367,1.094,2.143,1.087,2.156
ETTm2,336,2.778,3.638,1.620,2.637,1.795,2.739,1.603,2.624,1.498,2.543,1.448,2.522
Weather,24,3.552,2.120,2.224,1.100,4.485,2.313,2.481,1.163,2.557,1.454,2.267,1.093
Weather,48,4.206,2.231,3.610,1.644,6.581,2.815,4.299,1.781,5.527,2.393,4.783,1.802
Weather,96,3.064,2.042,2.507,1.457,5.812,2.569,3.280,1.806,2.539,1.566,2.280,1.367
Weather,168,2.713,2.106,2.184,1.450,4.053,2.188,3.309,1.950,2.160,1.604,1.885,1.309
Weather,336,3.472,2.567,2.238,1.611,3.910,2.111,3.314,1.982,2.043,1.551,1.757,1.366
