dataset,backbone,horizon,init,mse
ETTh1,autoformer,24,avg,3.439
ETTh1,autoformer,24,norm,3.658
ETTh1,autoformer,24,uni,3.532
ETTh1,autoformer,96,avg,8.794
ETTh1,autoformer,96,norm,9.381
ETTh1,autoformer,96,uni,8.774
ETTh1,autoformer,168,avg,9.878
ETTh1,autoformer,168,norm,9.725
ETTh1,autoformer,168,uni,9.589
ETTh1,nbeats,24,avg,3.196
ETTh1,nbeats,24,norm,3.230
ETTh1,nbeats,24,uni,3.292
ETTh1,nbeats,96,avg,7.878
ETTh1,nbeats,96,norm,8.067
ETTh1,nbeats,96,uni,7.851
ETTh1,nbeats,168,avg,9.783
ETTh1,nbeats,168,norm,9.250
ETTh1,nbeats,168,uni,9.080
Weather,autoformer,24,avg,1.579
Weather,autoformer,24,norm,0.835
Weather,autoformer,24,uni,0.799
Weather,autoformer,96,avg,2.127
Weather,autoformer,96,norm,2.056
Weather,autoformer,96,uni,1.823
Weather,autoformer,168,avg,2.139
Weather,autoformer,168,norm,3.140
Weather,autoformer,168,uni,1.847
Weather,nbeats,24,avg,0.650
Weather,nbeats,24,norm,0.579
Weather,nbeats,24,uni,0.566
Weather,nbeats,96,avg,1.915
Weather,nbeats,96,norm,1.814
Weather,nbeats,96,uni,1.782
Weather,nbeats,168,avg,1.848
Weather,nbeats,168,norm,2.323
Weather,nbeats,168,uni,2.054
