data,model,norm,seed,seq_len,pred_len,MSE,MAE,RMSE
ETTm2,Transformer,none,2023,96,96,15.21816,2.55498,3.90105
ETTm2,Transformer,none,2023,96,192,32.89132,3.55744,5.73510
ETTm2,Transformer,none,2023,96,336,41.30072,4.06135,6.42656
ETTm2,Transformer,none,2023,96,720,40.93990,4.31693,6.39843
ETTm2,Transformer,revin,2023,96,96,13.31501,2.33994,3.64897
ETTm2,Transformer,revin,2023,96,192,16.40308,2.57532,4.05007
ETTm2,Transformer,revin,2023,96,336,18.90872,2.79703,4.34842
ETTm2,Transformer,revin,2023,96,720,26.55510,3.26548,5.15316
ETTm2,Transformer,dishts,2023,96,96,11.00941,2.08016,3.31804
ETTm2,Transformer,dishts,2023,96,192,15.15580,2.47924,3.89304
ETTm2,Transformer,dishts,2023,96,336,20.29641,2.82105,4.50515
ETTm2,Transformer,dishts,2023,96,720,27.43472,3.30708,5.23782
ETTm2,Informer,none,2023,96,96,23.47422,3.21379,4.84502
ETTm2,Informer,none,2023,96,192,40.10796,4.04623,6.33308
ETTm2,Informer,none,2023,96,336,28.93241,3.60545,5.37888
ETTm2,Informer,none,2023,96,720,51.86284,4.51354,7.20159
ETTm2,Informer,revin,2023,96,96,12.47577,2.16155,3.53211
ETTm2,Informer,revin,2023,96,192,15.29332,2.44363,3.91067
ETTm2,Informer,revin,2023,96,336,22.25618,2.93377,4.71765
