timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0,gt_1,pred_1,gt_2,pred_2,gt_3,pred_3,gt_4,pred_4,gt_5,pred_5,gt_6,pred_6
0,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,3.684,,2.21,,-0.711,,1.35,,4.112,,0.944,,3.799,
1,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,13.329,,2.746,,8.493,,1.421,,4.721,,0.822,,3.588,
2,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,15.606,,2.947,,10.27,,1.066,,5.239,,0.914,,3.799,
3,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,18.687,,3.818,,12.935,,1.883,,5.757,,0.822,,3.588,
4,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,18.018,,3.55,,12.473,,1.635,,5.544,,0.853,,3.306,
5,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,16.946,,2.344,,11.904,,0.497,,5.117,,0.883,,3.658,
6,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,16.678,,3.55,,12.331,,1.528,,4.325,,0.761,,4.291,
7,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,16.008,,4.019,,11.869,,1.848,,3.686,,0.761,,3.939,
8,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,15.07,,3.952,,11.513,,2.097,,3.32,,0.761,,3.799,
9,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,14.2,,3.081,,10.945,,1.706,,2.863,,0.579,,4.362,
10,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,14.267,,3.416,,11.584,,2.701,,2.65,,0.548,,4.643,
11,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,14.736,,4.421,,11.336,,2.452,,2.772,,0.67,,4.221,
12,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,13.865,,3.617,,10.589,,2.061,,3.168,,0.822,,4.08,
13,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,12.927,,3.349,,9.914,,1.706,,3.076,,0.731,,3.869,
14,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,12.726,,2.679,,9.381,,1.279,,3.381,,0.731,,3.939,
15,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,14.803,,3.081,,10.732,,1.706,,3.99,,0.731,,3.728,
16,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,13.329,,3.885,,8.813,,2.061,,4.538,,0.853,,3.869,
17,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,2.009,,1.875,,-1.706,,0.675,,4.021,,0.883,,4.432,
18,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,-4.957,,1.808,,-8.564,,0.746,,3.503,,0.853,,3.377,
19,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,-5.559,,3.081,,-9.594,,2.097,,3.99,,0.853,,4.08,
20,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,-10.449,,2.277,,-13.752,,1.208,,3.411,,0.853,,3.588,
21,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,-3.55,,2.143,,-8.351,,1.102,,3.868,,0.822,,3.447,
22,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,-2.143,,2.478,,-5.863,,1.244,,3.442,,0.792,,3.306,
23,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,1.474,,2.411,,-2.025,,1.208,,3.594,,0.944,,3.869,
24,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,7.435,3.209477,2.947,2.484591,3.234,-0.5184002,1.564,1.2303463,4.599,3.8178515,1.066,0.7895659,3.658,3.961547
25,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,14.602,5.88735,3.416,2.3345757,9.488,2.3735175,1.635,1.1434716,5.117,3.8478222,1.127,0.75093997,3.236,3.96033
26,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,17.281,8.557863,3.885,2.1769829,11.904,5.0417404,1.741,1.0303937,5.422,4.0240083,0.944,0.7431327,2.462,3.9120145
27,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,19.29,10.486917,3.751,1.991357,13.645,7.0392833,2.025,0.93124104,5.94,4.211087,0.853,0.7447746,2.392,3.827841
28,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,20.027,11.221239,4.153,1.9011995,14.321,7.819405,2.381,0.86884177,5.726,4.291804,0.853,0.7506521,1.688,3.7231421
29,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,17.214,11.644135,2.947,2.0811415,12.011,8.460821,1.208,0.9528799,5.148,4.28108,0.792,0.79381377,1.266,3.6121542
30,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,16.008,13.194771,3.148,2.3034139,11.691,10.035976,1.777,1.1508001,4.356,4.1605186,0.701,0.80616933,2.181,3.5684886
31,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,15.539,14.851346,3.55,2.5577626,11.94,11.799382,2.097,1.3125058,3.716,3.8887365,0.64,0.7795656,0.774,3.5409472
32,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,14.401,15.702074,3.684,2.8110902,11.122,12.871761,1.99,1.4908327,3.35,3.7055392,0.64,0.80883867,1.899,3.5244904
33,ETTh1,Autoformer,dishts,24,24,0.0,2023,uni,False,none,12.927,15.612528,3.349,2.9557235,10.625,12.797804,1.954,1.5809708,2.894,3.4668598,0.548,0.8031883,1.829,3.549528
