timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0
0,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.2725,
1,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.053,
2,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.833,
3,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.3935,
4,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.954,
5,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.5145,
6,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.075,
7,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,11.6355,
8,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,11.1965,
9,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.757,
10,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.0975,
11,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.6585,
12,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.2185,
13,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.7795,
14,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.3395,
15,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.9005,
16,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.9005,
17,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.4605,
18,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.4605,
19,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.0215,
20,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.0215,
21,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.0215,
22,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.8015,
23,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
24,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
25,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
26,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
27,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
28,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
29,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
30,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
31,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
32,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
33,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.3625,
34,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.3625,
35,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.3625,
36,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.3625,
37,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.1425,
38,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.1425,
39,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.1425,
40,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.1425,
41,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.1425,
42,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.923,
43,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.923,
44,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.923,
45,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.923,
46,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.7035,
47,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.7035,
48,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.7035,
49,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.4835,
50,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,
51,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,
52,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,
53,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,
54,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,
55,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.044,
56,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.044,
57,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.8245,
58,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.6045,
59,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.6045,
60,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.3845,
61,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.3845,
62,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.165,
63,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.9455,
64,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.9455,
65,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,3.9455,
66,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.165,
67,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,4.6045,
68,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.2635,
69,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,5.7035,
70,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,6.582,
71,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,7.4605,
72,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,8.3395,
73,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,9.4385,
74,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,10.537,
75,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,11.6355,
76,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.5145,
77,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.833,
78,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.7115,
79,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.371,
80,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.8105,
81,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.8105,
82,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,16.03,
83,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.8105,
84,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.371,
85,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.932,
86,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.492,
87,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.492,
88,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.492,
89,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.712,
90,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.1515,
91,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.591,
92,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.591,
93,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.8105,
94,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.8105,
95,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,15.371,
96,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.932,13.94436
97,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.712,13.626257
98,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.492,13.453985
99,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,14.053,13.29435
100,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.613,13.155645
101,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,13.3935,13.040926
102,ETTm2,Autoformer,dishts,96,96,0.25,2025,avg,False,paper-phi-only,12.954,12.804245
