timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0,gt_1,pred_1,gt_2,pred_2,gt_3,pred_3,gt_4,pred_4,gt_5,pred_5,gt_6,pred_6
0,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,0.733295,,0.818527,,1576.0,,1515.0,,4879.0,,1377.0,,596071.0,
1,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,0.73102,,0.829758,,1529.0,,1485.0,,4899.0,,1390.0,,590413.0,
2,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,0.68834,,0.828503,,1559.0,,1481.0,,4915.0,,1386.0,,593239.0,
3,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,0.732049,,0.885896,,1603.0,,1691.0,,5230.0,,1350.0,,590363.0,
4,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,0.911188,,1.05351,,1964.0,,2549.0,,6653.0,,1379.0,,631507.0,
5,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,1.02105,,1.11768,,2076.0,,2726.0,,7133.0,,1370.0,,638196.0,
6,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,1.09495,,1.14028,,2073.0,,2488.0,,7072.0,,1384.0,,620201.0,
7,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,1.09475,,1.13326,,2372.0,,2942.0,,8304.0,,1485.0,,732755.0,
8,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,1.09775,,1.17589,,2544.0,,3075.0,,8563.0,,1484.0,,728214.0,
9,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,1.18882,,1.23848,,2840.0,,3201.0,,9079.0,,1468.0,,733077.0,
10,ILI,NBEATS,dishts,24,24,0.0,2023,avg,False,none,1.26589,,1.2802,,3849.0,,4556.0,,12839.0,,2220.0,,1002892.0,
