timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0,gt_1,pred_1,gt_2,pred_2,gt_3,pred_3,gt_4,pred_4,gt_5,pred_5,gt_6,pred_6,gt_7,pred_7,gt_8,pred_8,gt_9,pred_9,gt_10,pred_10,gt_11,pred_11,gt_12,pred_12,gt_13,pred_13,gt_14,pred_14,gt_15,pred_15,gt_16,pred_16,gt_17,pred_17,gt_18,pred_18,gt_19,pred_19,gt_20,pred_20
0,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.36,,7.04,,280.56,,3.49,,78.07,,10.06,,7.85,,2.21,,4.92,,7.89,,1233.84,,1.03,,1.7,,215.3,,0.0,,0.0,,0.0,,0.0,,0.0,,17.64,,421.8,
1,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.28,,7.05,,280.58,,3.44,,77.76,,10.06,,7.82,,2.24,,4.9,,7.86,,1233.73,,1.08,,1.82,,203.1,,0.0,,0.0,,0.0,,0.0,,0.0,,17.45,,421.5,
2,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.38,,6.97,,280.49,,3.48,,78.4,,10.0,,7.84,,2.16,,4.92,,7.88,,1234.19,,0.92,,1.8,,201.0,,0.0,,0.0,,0.0,,0.0,,0.0,,17.27,,422.7,
3,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.41,,6.81,,280.33,,3.42,,78.87,,9.9,,7.81,,2.09,,4.89,,7.84,,1234.92,,1.1,,1.72,,213.7,,0.0,,0.0,,0.0,,0.0,,0.0,,17.1,,422.7,
4,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.67,,6.82,,280.32,,3.27,,78.01,,9.91,,7.73,,2.18,,4.84,,7.76,,1235.24,,1.35,,1.86,,228.3,,0.0,,0.0,,0.0,,0.0,,0.0,,16.93,,422.2,
5,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.8,,6.9,,280.39,,3.17,,77.07,,9.96,,7.68,,2.28,,4.81,,7.71,,1235.09,,0.81,,1.35,,192.1,,0.0,,0.0,,0.0,,0.0,,0.0,,16.77,,422.0,
6,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.64,,6.57,,280.07,,3.24,,79.19,,9.74,,7.71,,2.03,,4.83,,7.74,,1236.32,,1.0,,2.02,,217.6,,0.0,,0.0,,0.0,,0.0,,0.0,,16.62,,423.3,
7,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.62,,6.09,,279.59,,3.19,,81.6,,9.41,,7.68,,1.73,,4.81,,7.72,,1238.46,,1.05,,2.01,,234.5,,0.0,,0.0,,0.0,,0.0,,0.0,,16.47,,424.7,
8,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.68,,5.84,,279.34,,3.24,,83.3,,9.26,,7.71,,1.55,,4.83,,7.74,,1239.61,,0.37,,0.75,,211.5,,0.0,,0.0,,0.0,,0.0,,0.0,,16.32,,426.2,
9,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.79,,5.67,,279.16,,3.14,,83.7,,9.15,,7.66,,1.49,,4.8,,7.69,,1240.53,,0.54,,1.09,,228.8,,0.0,,0.0,,0.0,,0.0,,0.0,,16.16,,426.4,
10,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.99,,5.1,,278.57,,3.32,,88.2,,8.79,,7.75,,1.04,,4.86,,7.78,,1243.27,,1.33,,2.17,,184.2,,0.0,,0.0,,0.0,,0.0,,0.0,,16.01,,432.7,
11,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.92,,4.76,,278.24,,3.36,,90.6,,8.58,,7.78,,0.81,,4.87,,7.81,,1244.7,,0.89,,1.43,,279.9,,0.0,,0.0,,0.0,,0.0,,0.0,,15.85,,435.9,
12,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.87,,5.09,,278.57,,3.32,,88.3,,8.78,,7.76,,1.03,,4.86,,7.79,,1243.18,,0.48,,0.93,,194.6,,0.0,,0.0,,0.0,,0.0,,0.0,,15.65,,435.3,
13,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.84,,4.98,,278.46,,3.43,,89.7,,8.72,,7.82,,0.9,,4.9,,7.85,,1243.6,,0.35,,0.62,,58.43,,0.0,,0.0,,0.0,,0.0,,0.0,,15.46,,438.3,
14,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.72,,4.85,,278.35,,3.39,,90.2,,8.64,,7.79,,0.85,,4.88,,7.83,,1244.02,,0.27,,0.58,,70.49,,0.0,,0.0,,0.0,,0.0,,0.0,,15.3,,438.7,
15,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.58,,4.16,,277.66,,3.05,,92.5,,8.23,,7.61,,0.62,,4.77,,7.64,,1247.07,,0.33,,0.7,,194.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.15,,440.5,
16,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.43,,3.81,,277.33,,2.89,,93.7,,8.03,,7.52,,0.51,,4.71,,7.56,,1248.47,,0.5,,1.14,,238.4,,0.0,,0.0,,0.0,,0.0,,0.0,,15.01,,435.2,
17,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.25,,4.1,,277.62,,2.96,,92.3,,8.19,,7.56,,0.63,,4.74,,7.6,,1246.95,,0.51,,0.93,,116.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14.86,,437.3,
18,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,995.1,,4.06,,277.6,,3.06,,93.2,,8.17,,7.61,,0.56,,4.77,,7.65,,1246.9,,0.37,,0.68,,101.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14.71,,440.9,
19,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,994.92,,4.05,,277.6,,2.99,,92.8,,8.16,,7.58,,0.59,,4.75,,7.62,,1246.74,,0.36,,0.72,,59.12,,0.0,,0.0,,0.0,,0.0,,0.0,,14.56,,439.1,
20,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,994.69,,3.85,,277.42,,2.99,,94.1,,8.05,,7.58,,0.48,,4.75,,7.62,,1247.33,,0.72,,1.04,,44.18,,0.0,,0.0,,0.0,,0.0,,0.0,,14.42,,440.6,
21,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,994.46,,3.67,,277.26,,2.95,,95.0,,7.95,,7.55,,0.4,,4.74,,7.6,,1247.85,,0.49,,0.88,,31.06,,0.0,,0.0,,0.0,,0.0,,0.0,,14.27,,441.9,
22,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,994.33,,3.77,,277.37,,2.84,,93.6,,8.01,,7.5,,0.51,,4.7,,7.54,,1247.27,,0.28,,0.49,,12.64,,0.0,,0.0,,0.0,,0.0,,0.0,,14.13,,439.0,
23,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,994.33,,3.75,,277.35,,2.76,,93.2,,8.0,,7.45,,0.54,,4.67,,7.49,,1247.39,,0.58,,0.87,,22.5,,0.0,,0.0,,0.0,,0.0,,0.0,,14.0,,439.1,
24,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,992.58,995.40826,2.87,2.7832334,276.6,278.1902,1.97,3.129312,93.8,98.669106,7.51,7.4480815,7.04,7.6286592,0.47,0.7521828,4.43,4.756019,7.1,7.5248985,1249.38,1242.193,1.31,0.39450055,2.35,0.9594153,231.1,107.830345,0.0,7.765984e-06,0.0,-8.038106e-06,0.0,8.562405e-05,0.0,8.3621926e-05,0.0,5.5734836e-05,12.24,13.968649,433.6,428.87918
25,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,992.53,995.3951,2.8,2.9420109,276.55,278.2994,1.8,3.127374,93.1,96.67713,7.48,7.501587,6.96,7.62416,0.52,0.81488746,4.37,4.757879,7.01,7.5244927,1249.63,1242.2501,0.9,0.33700284,1.9,0.817988,205.8,131.97507,0.0,6.1337905e-06,0.0,-4.4787744e-06,0.0,8.3790874e-05,0.0,7.733746e-05,0.0,4.6364294e-05,12.18,13.897411,437.5,429.69904
26,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,992.39,995.3418,2.14,3.043681,275.9,278.1261,1.53,3.1212544,95.7,95.695694,7.13,7.447186,6.82,7.6142673,0.31,0.8178161,4.29,4.747142,6.88,7.51103,1252.52,1242.3009,0.76,0.299021,1.55,0.7259531,207.8,129.90747,0.0,3.4009963e-06,0.0,-3.0710244e-06,0.0,7.897513e-05,0.0,6.9672176e-05,0.0,3.512204e-05,12.13,13.873284,441.5,431.22784
27,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,992.18,995.33014,2.27,3.1385663,276.04,278.14926,1.68,3.1293693,95.9,95.32589,7.19,7.3644137,6.9,7.6033053,0.29,0.7531354,4.34,4.7352886,6.95,7.503243,1251.66,1242.9398,1.04,0.3195057,2.76,0.65443957,221.6,122.08806,0.0,2.3171935e-06,0.0,-8.981255e-06,0.0,7.568818e-05,0.0,6.616838e-05,0.0,2.605673e-05,12.08,13.875428,437.3,432.7255
28,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,992.07,995.3748,2.6,3.2856433,276.38,278.53915,1.84,3.1410944,94.7,94.97506,7.37,7.4330645,6.98,7.5932627,0.39,0.681561,4.39,4.727242,7.03,7.4934726,1249.97,1243.0441,1.22,0.43414024,1.8,0.58055735,210.3,120.505745,0.0,7.169981e-07,0.0,-2.0408484e-05,0.0,7.055042e-05,0.0,6.53976e-05,0.0,1.5096156e-05,12.02,14.006378,436.4,434.49545
29,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.85,995.386,2.74,3.369781,276.53,278.91528,1.86,3.1607032,93.9,94.80415,7.44,7.559601,6.99,7.588655,0.45,0.6487256,4.39,4.7254324,7.04,7.486735,1249.08,1242.2916,1.47,0.59243125,2.52,0.46955416,212.9,128.57172,0.0,-3.0933297e-06,0.0,-2.9211831e-05,0.0,6.432575e-05,0.0,6.397287e-05,0.0,3.6207873e-06,11.97,14.135961,436.0,437.08206
30,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.58,995.24176,2.84,3.4575727,276.65,278.94418,1.79,3.1790416,92.8,94.42524,7.49,7.6933236,6.95,7.580703,0.54,0.6755447,4.37,4.7223454,7.01,7.478232,1248.29,1241.6285,1.83,0.70959485,2.62,0.4537209,200.6,137.55196,0.0,-8.516645e-06,0.0,-3.1387404e-05,0.0,6.198993e-05,0.0,6.24846e-05,0.0,-4.0531227e-06,11.94,14.214073,435.7,440.1208
31,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.43,995.1246,2.79,3.5822358,276.62,278.90146,1.72,3.195857,92.6,93.74542,7.47,7.891109,6.92,7.570519,0.55,0.7423644,4.35,4.7163568,6.98,7.469398,1248.31,1241.0338,1.81,0.79191816,2.56,0.5090002,205.3,137.68048,0.0,-1.532513e-05,0.0,-3.862685e-05,0.0,6.158942e-05,0.0,6.122286e-05,0.0,-1.0950504e-05,11.93,14.320531,436.3,443.1452
32,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.46,995.01953,2.99,3.6915162,276.82,278.94125,1.67,3.2099693,91.0,92.741745,7.58,8.08786,6.89,7.562918,0.68,0.7762585,4.34,4.7071257,6.95,7.4604225,1247.48,1240.6582,2.29,0.8682647,3.39,0.5469632,214.1,138.10312,0.0,-2.5039535e-05,0.0,-4.229291e-05,0.0,6.4438515e-05,0.0,6.14505e-05,0.0,-1.5251363e-05,11.93,14.478679,434.7,445.9184
33,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.52,994.93536,3.15,3.7898028,276.98,279.1383,1.6,3.2190921,89.5,91.458176,7.66,8.152292,6.86,7.560381,0.8,0.80792737,4.31,4.7052865,6.92,7.4624777,1246.83,1240.638,2.0,0.9117283,2.94,0.59329593,210.9,131.3135,0.0,-3.4920173e-05,0.0,-4.722231e-05,0.0,7.019821e-05,0.0,6.4665226e-05,0.0,-1.1329773e-05,11.93,14.632519,434.8,446.8554
34,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.58,994.89594,3.2,3.8655038,277.01,279.1896,1.53,3.2287176,88.8,90.66333,7.69,8.1029625,6.83,7.5637975,0.86,0.8396014,4.29,4.7093344,6.88,7.470988,1246.73,1240.8295,1.51,0.94563556,2.56,0.68388754,216.4,119.56767,0.0,-3.7996793e-05,0.0,-4.4171924e-05,0.0,7.408215e-05,0.0,6.7981964e-05,0.0,-6.2998038e-06,11.94,14.722841,434.4,446.73166
35,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.41,994.92676,3.1,4.0121894,276.93,279.2557,1.46,3.2258801,88.9,89.8164,7.64,8.14262,6.79,7.57035,0.85,0.9169095,4.27,4.715995,6.85,7.4830437,1246.96,1240.9215,1.62,0.9882468,2.56,0.71774304,201.5,114.35574,0.0,-3.9968956e-05,0.0,-3.450381e-05,0.0,7.848468e-05,0.0,7.16262e-05,0.0,-5.3304693e-06,11.96,14.889165,434.2,447.06143
36,WTH,Autoformer,dishts,24,24,0.0,2023,avg,False,none,991.29,995.00183,2.99,4.203035,276.83,279.27563,1.42,3.2182586,89.4,88.81689,7.57,8.189623,6.77,7.5791516,0.8,1.0188212,4.26,4.7239704,6.83,7.4966936,1247.33,1241.5353,2.36,1.000576,3.64,0.7062977,204.8,113.412445,0.0,-4.5143715e-05,0.0,-2.9292538e-05,0.0,8.161168e-05,0.0,7.3030365e-05,0.0,-1.7331657e-06,11.99,15.013564,435.0,447.738
