data,model,norm,seed,seq_len,label_len,pred_len,batch_size,alpha,MSE,MAE,RMSE,MAPE,MSPE,log
ECL,Autoformer,dishts,2023,96,48,24,64,0.5,4153340.500000,258.309967,2037.974609,133826512.000000,232061886219425939456.000000,ECL_Autoformer_dishts_s96_p24_seed2023.log
ECL,Autoformer,dishts,2024,96,48,24,64,0.5,4099333.750000,251.274475,2024.681152,125738640.000000,207674243326331060224.000000,ECL_Autoformer_dishts_s96_p24_seed2024.log
ECL,Autoformer,dishts,2025,96,48,24,64,0.5,4471003.000000,256.525604,2114.474609,124332688.000000,183397220099083468800.000000,ECL_Autoformer_dishts_s96_p24_seed2025.log
ECL,Autoformer,dishts,2023,96,84,168,64,0.5,8692665.000000,327.513062,2948.332520,136962720.000000,268990629107678052352.000000,ECL_Autoformer_dishts_s96_p168_seed2023.log
ECL,Autoformer,dishts,2024,96,84,168,64,0.5,8556913.000000,329.056213,2925.220215,153512256.000000,284573347701170634752.000000,ECL_Autoformer_dishts_s96_p168_seed2024.log
ECL,Autoformer,dishts,2025,96,84,168,64,0.5,8064851.000000,312.819702,2839.868164,151085168.000000,271432143055666282496.000000,ECL_Autoformer_dishts_s96_p168_seed2025.log
ECL,Autoformer,revin,2023,96,48,24,64,0.5,5263912.500000,272.932526,2294.321777,141415184.000000,259394812900076945408.000000,ECL_Autoformer_revin_s96_p24_seed2023.log
ECL,Autoformer,revin,2024,96,48,24,64,0.5,4002992.250000,248.597397,2000.748047,130317856.000000,216594836249175392256.000000,ECL_Autoformer_revin_s96_p24_seed2024.log
ECL,Autoformer,revin,2025,96,48,24,64,0.5,5070745.000000,263.885864,2251.831543,136584224.000000,236493762504293351424.000000,ECL_Autoformer_revin_s96_p24_seed2025.log
ECL,Autoformer,revin,2023,96,84,168,64,0.5,31348436.000000,557.919983,5598.966797,156260032.000000,276469542384182493184.000000,ECL_Autoformer_revin_s96_p168_seed2023.log
ECL,Autoformer,revin,2024,96,84,168,64,0.5,43792432.000000,674.235657,6617.585449,160857184.000000,270330678695239352320.000000,ECL_Autoformer_revin_s96_p168_seed2024.log
ECL,Autoformer,revin,2025,96,84,168,64,0.5,41006136.000000,643.043701,6403.603027,160565248.000000,280794915574737010688.000000,ECL_Autoformer_revin_s96_p168_seed2025.log
ETTh1,Autoformer,dishts,2023,96,48,24,128,0.5,11.634460,1.817070,3.410930,662892.750000,313687298539520.000000,ETTh1_Autoformer_dishts_s96_p24_seed2023.log
ETTh1,Autoformer,dishts,2024,96,48,24,128,0.5,10.227580,1.785290,3.198060,724205.375000,386994874089472.000000,ETTh1_Autoformer_dishts_s96_p24_seed2024.log
ETTh1,Autoformer,dishts,2025,96,48,24,128,0.5,12.480810,1.957160,3.532820,764835.687500,380732778217472.000000,ETTh1_Autoformer_dishts_s96_p24_seed2025.log
ETTh1,Autoformer,dishts,2023,96,84,168,128,0.5,12.552630,2.074510,3.542970,809952.875000,402706166448128.000000,ETTh1_Autoformer_dishts_s96_p168_seed2023.log
ETTh1,Autoformer,dishts,2024,96,84,168,128,0.5,13.080050,2.087500,3.616640,895217.687500,470399313772544.000000,ETTh1_Autoformer_dishts_s96_p168_seed2024.log
ETTh1,Autoformer,dishts,2025,96,84,168,128,0.5,12.970140,2.109650,3.601410,876585.937500,431515263565824.000000,ETTh1_Autoformer_dishts_s96_p168_seed2025.log
ETTh1,Autoformer,dishts,2025,96,84,168,128,0.5,12.970140,2.109650,3.601410,876585.937500,431515263565824.000000,table3_master.log
ETTh1,Autoformer,revin,2023,96,48,24,128,0.5,11.510600,1.842730,3.392730,656033.875000,265195322605568.000000,ETTh1_Autoformer_revin_s96_p24_seed2023.log
ETTh1,Autoformer,revin,2024,96,48,24,128,0.5,10.362920,1.815120,3.219150,624288.500000,261494755295232.000000,ETTh1_Autoformer_revin_s96_p24_seed2024.log
ETTh1,Autoformer,revin,2025,96,48,24,128,0.5,12.869180,2.007250,3.587360,742795.437500,334890914545664.000000,ETTh1_Autoformer_revin_s96_p24_seed2025.log
ETTh1,Autoformer,revin,2023,96,84,168,128,0.5,13.682920,2.149590,3.699040,823677.937500,403159587487744.000000,ETTh1_Autoformer_revin_s96_p168_seed2023.log
ETTh1,Autoformer,revin,2024,96,84,168,128,0.5,13.708570,2.125160,3.702510,890606.375000,454543368257536.000000,ETTh1_Autoformer_revin_s96_p168_seed2024.log
ETTh1,Autoformer,revin,2025,96,84,168,128,0.5,13.638450,2.156050,3.693030,807440.250000,380952626855936.000000,ETTh1_Autoformer_revin_s96_p168_seed2025.log
ETTm2,Autoformer,dishts,2023,96,48,24,128,0.5,8.696910,2.096400,2.949050,7244679.500000,3320433042522112.000000,ETTm2_Autoformer_dishts_s96_p24_seed2023.log
ETTm2,Autoformer,dishts,2023,96,48,24,128,0.5,9.292520,2.165760,3.048360,7462916.000000,2978491100299264.000000,test_ETTm2_Autoformer_dishts_p24.log
ETTm2,Autoformer,dishts,2024,96,48,24,128,0.5,9.306120,2.188580,3.050590,6713046.000000,2651766227206144.000000,ETTm2_Autoformer_dishts_s96_p24_seed2024.log
ETTm2,Autoformer,dishts,2025,96,48,24,128,0.5,8.378410,2.038890,2.894550,7500541.000000,3261475758014464.000000,ETTm2_Autoformer_dishts_s96_p24_seed2025.log
ETTm2,Autoformer,dishts,2023,96,48,96,128,0.5,13.725390,2.601270,3.704780,9608875.000000,4228146194808832.000000,ETTm2_Autoformer_dishts_s96_p96_seed2023.log
ETTm2,Autoformer,dishts,2023,96,84,168,128,0.5,14.698920,2.660760,3.833920,9442750.000000,4132562234507264.000000,ETTm2_Autoformer_dishts_s96_p168_seed2023.log
ETTm2,Autoformer,dishts,2024,96,84,168,128,0.5,16.357800,2.814870,4.044480,10311568.000000,5576166777815040.000000,ETTm2_Autoformer_dishts_s96_p168_seed2024.log
ETTm2,Autoformer,dishts,2025,96,84,168,128,0.5,17.866520,2.990290,4.226880,10842874.000000,5163816094531584.000000,ETTm2_Autoformer_dishts_s96_p168_seed2025.log
ETTm2,Autoformer,none,2023,24,12,24,64,0.5,9.914470,2.173430,3.148730,0.143610,13.706150,paper_verify_S_p24_seq24.log
ETTm2,Autoformer,none,2023,96,48,24,128,0.5,7.904040,1.834930,2.811410,8038235.000000,3227386334150656.000000,ETTm2_Autoformer_none_s96_p24_seed2023.log
ETTm2,Autoformer,none,2023,96,48,24,64,0.5,8.152370,1.871370,2.855240,8702978.000000,3627281343840256.000000,diag_ETTm2_Autoformer_none_p24.log
ETTm2,Autoformer,none,2023,96,48,96,128,0.5,11.654910,2.176240,3.413930,9162876.000000,4004583483375616.000000,ETTm2_Autoformer_none_s96_p96_seed2023.log
ETTm2,Autoformer,revin,2023,96,48,24,128,0.5,7.753000,1.838480,2.784420,8252195.000000,3584494342766592.000000,ETTm2_Autoformer_revin_s96_p24_seed2023.log
ETTm2,Autoformer,revin,2024,96,48,24,128,0.5,7.677330,1.819510,2.770800,7090076.500000,2658818831941632.000000,ETTm2_Autoformer_revin_s96_p24_seed2024.log
ETTm2,Autoformer,revin,2025,96,48,24,128,0.5,7.718660,1.822530,2.778250,7796481.500000,3255411532627968.000000,ETTm2_Autoformer_revin_s96_p24_seed2025.log
ETTm2,Autoformer,revin,2023,96,48,96,128,0.5,12.051750,2.208160,3.471560,9225078.000000,4192931221078016.000000,ETTm2_Autoformer_revin_s96_p96_seed2023.log
ETTm2,Autoformer,revin,2023,96,84,168,128,0.5,13.848570,2.364880,3.721370,9640552.000000,4435315552944128.000000,ETTm2_Autoformer_revin_s96_p168_seed2023.log
ETTm2,Autoformer,revin,2024,96,84,168,128,0.5,13.710030,2.334240,3.702710,9688153.000000,4457457719967744.000000,ETTm2_Autoformer_revin_s96_p168_seed2024.log
ETTm2,Autoformer,revin,2025,96,84,168,128,0.5,15.111410,2.488400,3.887340,9746354.000000,4485199987474432.000000,ETTm2_Autoformer_revin_s96_p168_seed2025.log
WTH,Autoformer,dishts,2023,96,48,24,128,0.5,2812.925537,15.672190,53.037022,481329088.000000,6163893521393647616.000000,WTH_Autoformer_dishts_s96_p24_seed2023.log
WTH,Autoformer,dishts,2024,96,48,24,128,0.5,3092.960205,17.040501,55.614391,548568832.000000,7154007590496632832.000000,WTH_Autoformer_dishts_s96_p24_seed2024.log
WTH,Autoformer,dishts,2025,96,48,24,128,0.5,2926.391602,16.020519,54.096142,464300000.000000,5694120581356584960.000000,WTH_Autoformer_dishts_s96_p24_seed2025.log
WTH,Autoformer,dishts,2023,96,84,168,128,0.5,2783.916504,16.660440,52.762840,372076576.000000,3372146911929696256.000000,WTH_Autoformer_dishts_s96_p168_seed2023.log
WTH,Autoformer,dishts,2024,96,84,168,128,0.5,2900.070801,17.205780,53.852299,384661408.000000,3419414092174065664.000000,WTH_Autoformer_dishts_s96_p168_seed2024.log
WTH,Autoformer,dishts,2025,96,84,168,128,0.5,2994.633057,17.691179,54.723240,389924224.000000,3913965901132595200.000000,WTH_Autoformer_dishts_s96_p168_seed2025.log
WTH,Autoformer,revin,2023,96,48,24,128,0.5,3674.206299,18.226351,60.615231,576487744.000000,8614388830113366016.000000,WTH_Autoformer_revin_s96_p24_seed2023.log
WTH,Autoformer,revin,2024,96,48,24,128,0.5,3760.942627,18.394581,61.326519,612521984.000000,9162318904943443968.000000,WTH_Autoformer_revin_s96_p24_seed2024.log
WTH,Autoformer,revin,2025,96,48,24,128,0.5,3889.867188,19.014721,62.368801,640733184.000000,10526646259001851904.000000,WTH_Autoformer_revin_s96_p24_seed2025.log
WTH,Autoformer,revin,2023,96,84,168,128,0.5,3351.397217,17.706200,57.891251,470030400.000000,5720989347004547072.000000,WTH_Autoformer_revin_s96_p168_seed2023.log
WTH,Autoformer,revin,2024,96,84,168,128,0.5,3075.961670,17.024830,55.461361,421213216.000000,4442175685162696704.000000,WTH_Autoformer_revin_s96_p168_seed2024.log
WTH,Autoformer,revin,2025,96,84,168,128,0.5,3707.476807,18.997971,60.889061,587688576.000000,9286670921265840128.000000,WTH_Autoformer_revin_s96_p168_seed2025.log
