dataset,pred_len,my_none,my_revin,my_dishts,paper_autoformer,paper_autoformer_dishts,paper_revin,paper_dishts,ratio_none,ratio_revin,ratio_dishts,consistent_dir_revin_vs_dishts,my_gap_pct,paper_gap_pct
ECL,24,385242.8,173933.96933333334,,0.249,0.04,0.044,0.039,1547159.8393574296,3953044.757575758,,,,
ECL,24,,,170993.71600000001,0.249,0.04,0.044,0.039,,,4384454.256410257,,,
ECL,96,1610457.12,282729.62000000005,,1.046,0.064,,,1539633.9579349905,,,,,
ECL,96,,,263570.83,1.046,0.064,,,,,,,,
ECL,168,2126514.08,352271.7733333334,,1.013,0.08,0.091,0.076,2099224.165844028,3871118.388278389,,,,
ECL,168,,,315604.82,1.013,0.08,0.091,0.076,,,4152695.0,,,
ECL,336,2604975.12,373060.02,,1.058,0.104,0.109,0.086,2462169.3005671077,3422568.9908256885,,,,
ECL,336,,,399966.436,1.058,0.104,0.109,0.086,,,4650772.511627907,,,
ETTh1,24,0.2903174,0.31224599999999997,0.343422,1.794,1.019,1.245,1.018,0.16182686733556298,0.25079999999999997,0.3373497053045187,False,9.984435349051722,-18.232931726907637
ETTh1,96,0.4606222,0.4080777,,2.965,1.199,,,0.15535318718381114,,,,,
ETTh1,96,,,0.39874307999999997,2.965,1.199,,,,,,,,
ETTh1,168,0.5028008999999999,0.4365572,,3.234,1.148,1.462,1.148,0.1554733766233766,0.29860273597811215,,,,
ETTh1,168,,,0.45525685999999993,3.234,1.148,1.462,1.148,,,0.3965652090592334,,,
ETTh1,336,0.5600355,0.3733431,,3.335,1.147,1.92,1.222,0.16792668665667168,0.19444953125,,,,
ETTh1,336,,,0.39238966,3.335,1.147,1.92,1.222,,,0.32110446808510634,,,
ETTm2,24,0.6648522866666667,0.6819286400000001,0.75939874,2.443,0.676,0.794,0.651,0.2721458398144358,0.8588521914357683,1.1665111213517665,False,11.360440881321523,-18.01007556675063
ETTm2,96,,,1.3069076933333335,3.017,0.929,,,,,,,,
ETTm2,96,1.12967132,1.1388949133333333,,3.017,0.929,,,0.37443530659595625,,,,,
ETTm2,96,,,1.18784698,3.017,0.929,,,,,,,,
ETTm2,96,,,1.1439091616000001,3.017,0.929,,,,,,,,
ETTm2,168,1.38661515,1.38167216,,3.656,1.308,1.501,1.325,0.379271102297593,0.9205011059293804,,,,
ETTm2,168,,,1.3426811166666666,3.656,1.308,1.501,1.325,,,1.0133442389937106,,,
ETTm2,336,,,1.9449218833333333,3.638,1.603,1.827,1.599,,,1.2163363873254116,,,
ETTm2,336,1.72865342,1.7755406200000001,,3.638,1.603,1.827,1.599,0.47516586586036286,0.9718339463601533,,,,
ETTm2,336,,,1.6779846,3.638,1.603,1.827,1.599,,,1.0493962476547842,,,
ETTm2,336,,,1.7336724455555554,3.638,1.603,1.827,1.599,,,1.0842229177958447,,,
WTH,24,5.098976255,3.1076847450000002,2.479144524,2.12,2.481,3.523,2.481,2.405177478773585,0.8821131833664491,0.9992521257557437,True,-20.225353360287517,-29.57706500141925
WTH,96,5.185496542,3.5237947999999997,,2.042,3.28,,,2.5394204417238004,,,,,
WTH,96,,,2.8797120408000003,2.042,3.28,,,,,,,,
WTH,168,4.102771167,2.9076974520000003,,2.106,3.309,3.658,3.283,1.9481344572649575,0.7948872203389832,,,,
WTH,168,,,3.0752537168000003,2.106,3.309,3.658,3.283,,,0.9367205960402072,,,
WTH,336,4.304868878000001,2.8133040640000004,,2.567,3.314,3.501,3.232,1.6770038480716791,0.8035715692659242,,,,
WTH,336,,,2.807273640642858,2.567,3.314,3.501,3.232,,,0.8685871412880128,,,
