dataset,backbone,horizon,init,my_mse,paper_mse
ETTh1,Autoformer,24,avg,0.3009997714285714,3.439
ETTh1,Autoformer,24,norm,0.3093978,3.658
ETTh1,Autoformer,24,uni,0.3041706,3.532
ETTh1,Autoformer,96,avg,0.4052168,8.794
ETTh1,Autoformer,96,norm,0.43186189999999997,9.381
ETTh1,Autoformer,96,uni,0.4091862,8.774
ETTh1,Autoformer,168,avg,0.3845382,9.878
ETTh1,Autoformer,168,norm,0.47482779999999997,9.725
ETTh1,Autoformer,168,uni,0.43602,9.589
ETTh1,NBEATS,24,avg,0.2469207,3.196
ETTh1,NBEATS,24,norm,0.2455238,3.23
ETTh1,NBEATS,24,uni,0.2511004,3.292
ETTh1,NBEATS,96,avg,0.2962209,7.878
ETTh1,NBEATS,96,norm,0.29845550000000004,8.067
ETTh1,NBEATS,96,uni,0.2906258,7.851
ETTh1,NBEATS,168,avg,0.315314,9.783
ETTh1,NBEATS,168,norm,0.3159699,9.25
ETTh1,NBEATS,168,uni,0.3145725,9.08
Weather,Autoformer,24,avg,2.4051960522857145,1.579
Weather,Autoformer,24,norm,2.60328483,0.835
Weather,Autoformer,24,uni,2.4177038260000003,0.799
Weather,Autoformer,96,avg,2.83565649,2.127
Weather,Autoformer,96,norm,2.8889195119999997,2.056
Weather,Autoformer,96,uni,2.8187236080000004,1.823
Weather,Autoformer,168,avg,3.060941333,2.139
Weather,Autoformer,168,norm,2.6780145522,3.14
Weather,Autoformer,168,uni,2.3585142240000003,1.847
Weather,NBEATS,24,avg,2.002923671,0.65
Weather,NBEATS,24,norm,1.9973787630000002,0.579
Weather,NBEATS,24,uni,1.961064154,0.566
Weather,NBEATS,96,avg,2.037773499,1.915
Weather,NBEATS,96,norm,2.105776897,1.814
Weather,NBEATS,96,uni,2.16606021,1.782
Weather,NBEATS,168,avg,1.692217305,1.848
Weather,NBEATS,168,norm,1.6796106899999999,2.323
Weather,NBEATS,168,uni,1.670482089,2.054
